id,code,dose,fraction,treatment
1,CU_1,Control,Unfiltered,Control_Unfiltered
2,CU_2,Control,Unfiltered,Control_Unfiltered
3,CU_3,Control,Unfiltered,Control_Unfiltered
4,CU_4,Control,Unfiltered,Control_Unfiltered
5,CU_5,Control,Unfiltered,Control_Unfiltered
6,CU_6,Control,Unfiltered,Control_Unfiltered
7,CU_7,Control,Unfiltered,Control_Unfiltered
8,CU_8,Control,Unfiltered,Control_Unfiltered
9,CU_9,Control,Unfiltered,Control_Unfiltered
10,CU_10,Control,Unfiltered,Control_Unfiltered
11,CF1_1,Control,F1,Control_F1
12,CF1_2,Control,F1,Control_F1
13,CF1_3,Control,F1,Control_F1
14,CF1_4,Control,F1,Control_F1
15,CF1_5,Control,F1,Control_F1
16,CF1_6,Control,F1,Control_F1
17,CF1_7,Control,F1,Control_F1
18,CF1_8,Control,F1,Control_F1
19,CF1_9,Control,F1,Control_F1
20,CF1_10,Control,F1,Control_F1
21,CF2_1,Control,F2,Control_F2
22,CF2_2,Control,F2,Control_F2
23,CF2_3,Control,F2,Control_F2
24,CF2_4,Control,F2,Control_F2
25,CF2_5,Control,F2,Control_F2
26,CF2_6,Control,F2,Control_F2
27,CF2_7,Control,F2,Control_F2
28,CF2_8,Control,F2,Control_F2
29,CF2_9,Control,F2,Control_F2
30,CF2_10,Control,F2,Control_F2
31,CF3_1,Control,F3,Control_F3
32,CF3_2,Control,F3,Control_F3
33,CF3_3,Control,F3,Control_F3
34,CF3_4,Control,F3,Control_F3
35,CF3_5,Control,F3,Control_F3
36,CF3_6,Control,F3,Control_F3
37,CF3_7,Control,F3,Control_F3
38,CF3_8,Control,F3,Control_F3
39,CF3_9,Control,F3,Control_F3
40,CF3_10,Control,F3,Control_F3
41,CF4_1,Control,F4,Control_F4
42,CF4_2,Control,F4,Control_F4
43,CF4_3,Control,F4,Control_F4
44,CF4_4,Control,F4,Control_F4
45,CF4_5,Control,F4,Control_F4
46,CF4_6,Control,F4,Control_F4
47,CF4_7,Control,F4,Control_F4
48,CF4_8,Control,F4,Control_F4
49,CF4_9,Control,F4,Control_F4
50,CF4_10,Control,F4,Control_F4
51,PU_1,1x,Unfiltered,1x_Unfiltered
52,PU_2,1x,Unfiltered,1x_Unfiltered
53,PU_3,1x,Unfiltered,1x_Unfiltered
54,PU_4,1x,Unfiltered,1x_Unfiltered
55,PU_5,1x,Unfiltered,1x_Unfiltered
56,PU_6,1x,Unfiltered,1x_Unfiltered
57,PU_7,1x,Unfiltered,1x_Unfiltered
58,PU_8,1x,Unfiltered,1x_Unfiltered
59,PU_9,1x,Unfiltered,1x_Unfiltered
60,PU_10,1x,Unfiltered,1x_Unfiltered
61,PF1_1,1x,F1,1x_F1
62,PF1_2,1x,F1,1x_F1
63,PF1_3,1x,F1,1x_F1
64,PF1_4,1x,F1,1x_F1
65,PF1_5,1x,F1,1x_F1
66,PF1_6,1x,F1,1x_F1
67,PF1_7,1x,F1,1x_F1
68,PF1_8,1x,F1,1x_F1
69,PF1_9,1x,F1,1x_F1
70,PF1_10,1x,F1,1x_F1
71,PF2_1,1x,F2,1x_F2
72,PF2_2,1x,F2,1x_F2
73,PF2_3,1x,F2,1x_F2
74,PF2_4,1x,F2,1x_F2
75,PF2_5,1x,F2,1x_F2
76,PF2_6,1x,F2,1x_F2
77,PF2_7,1x,F2,1x_F2
78,PF2_8,1x,F2,1x_F2
79,PF2_9,1x,F2,1x_F2
80,PF2_10,1x,F2,1x_F2
81,PF3_1,1x,F3,1x_F3
82,PF3_2,1x,F3,1x_F3
83,PF3_3,1x,F3,1x_F3
84,PF3_4,1x,F3,1x_F3
85,PF3_5,1x,F3,1x_F3
86,PF3_6,1x,F3,1x_F3
87,PF3_7,1x,F3,1x_F3
88,PF3_8,1x,F3,1x_F3
89,PF3_9,1x,F3,1x_F3
90,PF3_10,1x,F3,1x_F3
91,PF4_1,1x,F4,1x_F4
92,PF4_2,1x,F4,1x_F4
93,PF4_3,1x,F4,1x_F4
94,PF4_4,1x,F4,1x_F4
95,PF4_5,1x,F4,1x_F4
96,PF4_6,1x,F4,1x_F4
97,PF4_7,1x,F4,1x_F4
98,PF4_8,1x,F4,1x_F4
99,PF4_9,1x,F4,1x_F4
100,PF4_10,1x,F4,1x_F4
101,xU_1,10x,Unfiltered,10x_Unfiltered
102,xU_2,10x,Unfiltered,10x_Unfiltered
103,xU_3,10x,Unfiltered,10x_Unfiltered
104,xU_4,10x,Unfiltered,10x_Unfiltered
105,xU_5,10x,Unfiltered,10x_Unfiltered
106,xU_6,10x,Unfiltered,10x_Unfiltered
107,xU_7,10x,Unfiltered,10x_Unfiltered
108,xU_8,10x,Unfiltered,10x_Unfiltered
109,xU_9,10x,Unfiltered,10x_Unfiltered
110,xU_10,10x,Unfiltered,10x_Unfiltered
111,xF1_1,10x,F1,10x_F1
112,xF1_2,10x,F1,10x_F1
113,xF1_3,10x,F1,10x_F1
114,xF1_4,10x,F1,10x_F1
115,xF1_5,10x,F1,10x_F1
116,xF1_6,10x,F1,10x_F1
117,xF1_7,10x,F1,10x_F1
118,xF1_8,10x,F1,10x_F1
119,xF1_9,10x,F1,10x_F1
120,xF1_10,10x,F1,10x_F1
121,xF2_1,10x,F2,10x_F2
122,xF2_2,10x,F2,10x_F2
123,xF2_3,10x,F2,10x_F2
124,xF2_4,10x,F2,10x_F2
125,xF2_5,10x,F2,10x_F2
126,xF2_6,10x,F2,10x_F2
127,xF2_7,10x,F2,10x_F2
128,xF2_8,10x,F2,10x_F2
129,xF2_9,10x,F2,10x_F2
130,xF2_10,10x,F2,10x_F2
131,xF3_1,10x,F3,10x_F3
132,xF3_2,10x,F3,10x_F3
133,xF3_3,10x,F3,10x_F3
134,xF3_4,10x,F3,10x_F3
135,xF3_5,10x,F3,10x_F3
136,xF3_6,10x,F3,10x_F3
137,xF3_7,10x,F3,10x_F3
138,xF3_8,10x,F3,10x_F3
139,xF3_9,10x,F3,10x_F3
140,xF3_10,10x,F3,10x_F3
141,xF4_1,10x,F4,10x_F4
142,xF4_2,10x,F4,10x_F4
143,xF4_3,10x,F4,10x_F4
144,xF4_4,10x,F4,10x_F4
145,xF4_5,10x,F4,10x_F4
146,xF4_6,10x,F4,10x_F4
147,xF4_7,10x,F4,10x_F4
148,xF4_8,10x,F4,10x_F4
149,xF4_9,10x,F4,10x_F4
150,xF4_10,10x,F4,10x_F4
151,xxU_1,100x,Unfiltered,100x_Unfiltered
152,xxU_2,100x,Unfiltered,100x_Unfiltered
153,xxU_3,100x,Unfiltered,100x_Unfiltered
154,xxU_4,100x,Unfiltered,100x_Unfiltered
155,xxU_5,100x,Unfiltered,100x_Unfiltered
156,xxU_6,100x,Unfiltered,100x_Unfiltered
157,xxU_7,100x,Unfiltered,100x_Unfiltered
158,xxU_8,100x,Unfiltered,100x_Unfiltered
159,xxU_9,100x,Unfiltered,100x_Unfiltered
160,xxU_10,100x,Unfiltered,100x_Unfiltered
161,xxF1_1,100x,F1,100x_F1
162,xxF1_2,100x,F1,100x_F1
163,xxF1_3,100x,F1,100x_F1
164,xxF1_4,100x,F1,100x_F1
165,xxF1_5,100x,F1,100x_F1
166,xxF1_6,100x,F1,100x_F1
167,xxF1_7,100x,F1,100x_F1
168,xxF1_8,100x,F1,100x_F1
169,xxF1_9,100x,F1,100x_F1
170,xxF1_10,100x,F1,100x_F1
171,xxF2_1,100x,F2,100x_F2
172,xxF2_2,100x,F2,100x_F2
173,xxF2_3,100x,F2,100x_F2
174,xxF2_4,100x,F2,100x_F2
175,xxF2_5,100x,F2,100x_F2
176,xxF2_6,100x,F2,100x_F2
177,xxF2_7,100x,F2,100x_F2
